ID	CFWKZHG1	CFWKZHG2	CFWKZHG3	CFWKNHG1	CFWKNHG2	CFWKNHG3	CFWKAHG1	CFWKAHG2	CFWKAHG3
mikado.Chr20G203	0.305330394	0	0	0	0.309968249	0.61937936	0	0	0
mikado.Chr20G205	18.36592796	15.56057957	12.38882865	13.8045876	22.97210458	48.74146608	12.09592684	15.01011882	15.29601217
mikado.Chr20G206	0	0	0	0	0	0	0	0	0
mikado.Chr20G207	9.51177955	9.709420137	12.30782404	8.056860741	8.330430788	23.67091921	10.02524181	11.5634552	7.823372414
mikado.Chr20G208	65.77782335	75.22876252	76.63683165	99.7582792	81.23834389	81.14891583	91.7535941	89.49230194	87.24710615
mikado.Chr20G209	56.67301643	59.07025731	67.73583265	54.16440364	56.00782932	40.44474884	59.34363669	61.29633587	65.53192618
mikado.Chr20G21	8.255518034	8.020545367	6.958988275	8.203928848	7.479101491	8.114168202	6.757221563	8.270897253	6.431230539
mikado.Chr20G210	6.788172406	6.946119187	7.065515708	8.226393547	7.907974096	8.220952426	8.561897488	8.321127142	9.197948659
mikado.Chr20G211	4.436947508	3.972922917	3.827107811	4.473812187	4.187108289	4.160002542	3.799295588	3.349208171	3.382353891
mikado.Chr20G212	8.572784118	8.958092312	9.190949749	10.57830353	10.13811099	10.67289589	11.04619108	10.82450442	11.89693377
mikado.Chr20G213	4.052034197	3.704034624	3.5513883	3.993293369	3.992756349	3.953554132	3.588083509	3.26930108	3.071502544
mikado.Chr20G215	2.919673824	2.755462683	3.244926654	3.703998501	2.878701482	1.181521802	2.214250181	2.312380478	3.134457296
mikado.Chr20G216	1.703903445	1.763010338	2.167404121	1.263654368	1.28988205	3.625666862	1.411201856	1.937310876	1.604462121
mikado.Chr20G217	4.021606927	4.30628243	3.767191904	3.132771815	3.131072626	4.19669353	3.22335375	3.918866206	5.244917742
mikado.Chr20G218	0	0	0	0	0	0	0	0	0.488389779
mikado.Chr20G219	0.506162329	0.259578651	0.32111371	0	0.255330171	0.755279444	0	0	0
mikado.Chr20G22	7.946207198	9.990627448	9.189439893	10.49715589	8.034502218	8.399076407	8.570659579	9.818330592	9.117189179
mikado.Chr20G221	78.47385663	85.1574702	80.50450746	98.36109085	118.7517102	171.515032	66.35240414	59.33746962	73.59665498
mikado.Chr20G223	3.044481561	2.753561531	3.172346847	2.575760967	2.924176753	2.540453662	2.643445513	2.531139251	3.104592289
mikado.Chr20G224	0.408576084	0.326408013	0	0	0	0	0	0	0
mikado.Chr20G225	5.600318123	5.175812965	5.311826341	4.658732388	3.720949144	3.009872053	4.516969085	5.680111809	5.220484521
mikado.Chr20G226	6.062149823	5.413073247	5.872694005	4.064624631	5.064127213	4.105599986	5.26207196	5.602351335	5.089059856
mikado.Chr20G227	0.694030199	0.791941737	0.779452851	1.072151815	1.201262795	0.74579791	0.858310409	0.78241	0.879559197
mikado.Chr20G228	0	0	0	0	0	0	0	0	0
mikado.Chr20G229	0	0	0	0	0	0	0	0	0
mikado.Chr20G23	45.41179401	41.57383424	43.41772257	46.315087	50.44840727	39.40363324	44.06339556	47.60062638	47.46078092
mikado.Chr20G231	0.530793714	0.359225886	0.454080548	0.351067942	0.420442519	0.873687684	0.360635776	0.416741834	0.430036718
mikado.Chr20G233	2.685243796	2.998644127	2.619644308	1.737299986	3.035158625	1.078418836	2.394948247	1.365838904	1.946984574
mikado.Chr20G234	76.21375342	75.18325872	77.91974789	100.3549474	76.8312752	94.63002093	73.12438833	80.50798285	60.98632312
mikado.Chr20G235	0	0	0	0	0.331665247	0.288040511	0	0	0
mikado.Chr20G236	0.563268713	2.193704924	1.915639066	2.001244126	0.823874428	1.095506076	1.838443312	1.116385377	3.370188165
mikado.Chr20G237	2.546626292	2.886026639	3.910938145	2.711455382	2.585615049	2.620421657	3.303770321	3.476804523	2.847464112
mikado.Chr20G238	0	0	0	0	0	0	0	0	0
mikado.Chr20G239	0	0	0	0	0	0	0	0	0
mikado.Chr20G24	26.76065437	26.16151361	25.51469461	25.26991354	26.93283223	20.05880908	27.58056566	25.82489934	26.7363695
mikado.Chr20G240	0	0	0	0	0	0	0	0	0
mikado.Chr20G242	0	0	0	0	0	0	0	0	0
mikado.Chr20G245	0	0	0	0	0	0	0	0	0
mikado.Chr20G246	0	0	0	0	0	0	0	0	0
mikado.Chr20G247	1.815205867	1.865994443	1.696545805	1.456864249	2.336578491	2.635021541	1.601032416	1.575741724	1.228643932
mikado.Chr20G250	9.887230007	9.06769104	7.45307332	7.637843539	9.871360322	5.161240103	9.504032177	9.735834553	8.332738937
mikado.Chr20G251	27.07322962	25.15175383	24.65461486	29.02363176	33.5166433	16.9497706	30.3392374	28.680659	31.47067251
mikado.Chr20G252	1.368125485	1.041950815	1.096675424	0.964937042	0.925497595	1.435410588	1.222574078	1.299619976	1.207935713
mikado.Chr20G253	54.91269218	54.17183622	60.33525015	33.89902863	26.52560468	50.53741528	45.26823248	46.85956708	44.47860855
mikado.Chr20G254	330.1092092	304.1926428	297.5428045	195.7447178	166.362956	250.8296757	265.1566632	340.4859641	272.2625247
mikado.Chr20G255	1.741151593	1.72505391	1.865119981	1.323737462	1.230577066	3.61193094	1.238328556	1.53659618	1.460982082
mikado.Chr20G256	0.394822696	0.57892162	0.424690202	0.28800391	0.593286866	0.535866634	0.529037487	0.580941244	0
mikado.Chr20G257	0.796672621	0.918700573	0.673363697	0.831810254	0.760703445	1.39858165	1.016201933	0.90307492	0.949623088
mikado.Chr20G259	29.2627324	27.39677861	28.67188645	32.49518854	27.46377716	16.44967482	25.81072512	23.79647716	27.15675039
mikado.Chr20G26	5.492509019	6.903449289	6.385679443	6.670974654	5.286745752	6.694761168	5.11017788	6.483128395	5.199246611
mikado.Chr20G260	33.32286731	39.38311711	37.96969311	38.86775917	34.88677946	65.44796004	40.69985864	39.90294441	32.07601364
mikado.Chr20G262	397.18001	331.8652406	293.7432107	287.8296741	341.3870394	84.04600926	237.0903817	235.695592	269.3179714
mikado.Chr20G263	9.375583012	5.947875176	6.552252112	2.827511938	5.792353887	7.997111724	3.996865514	3.414712488	3.849894446
mikado.Chr20G264	3.810405545	3.537466065	3.383083044	3.998446993	3.686569678	4.598587106	3.735547156	4.175692569	4.069985945
mikado.Chr20G265	0	0	0	0	0	0	0	0	0
mikado.Chr20G266	13.72296831	10.73585394	11.7229701	11.32455036	8.984806278	8.607844358	11.68983849	11.50545103	11.42218844
