ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mikado.Chr20G512	stable	409.166311652227	0.0334633231616574	0.201816842007484	0.165810359674623	0.868306193140193	0.955592377088599
mikado.Chr20G514	stable	50.4303383068647	1.28758028395344	0.675899637137738	1.90498738748554	0.056781710614172	0.281509108149002
mikado.Chr20G516	stable	6477.25349353483	0.131893081072545	0.0839688887462109	1.57073748434591	0.116243638494932	0.417945688687669
mikado.Chr20G515	stable	13158.6056782516	-0.267395389744857	0.160317614797953	-1.66791022983877	0.0953335486136483	0.377162677427365
mikado.Chr20G522	stable	1118.49164476938	-0.253894808335631	0.0889350109407759	-2.85483529658198	0.00430591529405818	0.0534443072237659
mikado.Chr20G526	stable	614.779966982199	-0.17880240573781	0.146452782354527	-1.22088773503103	0.222128528907608	0.560347620772896
mikado.Chr20G525	stable	1798.39640998677	0.0155378854364175	0.103463754553765	0.150177088618442	0.880624901516453	0.95928479093317
mikado.Chr20G535	stable	1504.87244275147	-0.116543489625235	0.0851983736999601	-1.36790744428598	0.171341049292115	0.49917359027103
mikado.Chr20G529	stable	2041.17333466537	-0.340357172120131	0.13786073557049	-2.46884778839805	0.0135548861696466	0.120752622690812
mikado.Chr20G531	stable	50.9024450394689	-0.409023040030156	0.310599328886971	-1.31688320607738	0.187877776585881	0.519924386732325
mikado.Chr20G533	stable	296.929477779873	0.533430112603412	0.416516905496352	1.28069258549719	0.200301665103996	0.534135536236132
mikado.Chr20G540	stable	109.209022702186	-0.264260541458802	0.197726484612321	-1.33649542182947	0.18138739590373	0.511662058123749
mikado.Chr21G6	stable	714.493799457318	0.154693733376247	0.166272758302397	0.930361262756635	0.352184068112795	0.681853216637738
mikado.Chr21G16	stable	322.876498650309	0.187443194251908	0.161022007340138	1.16408432206387	0.244389841530663	0.583597599720765
mikado.Chr21G7	stable	111.152531680506	0.353790285393224	0.242439347168771	1.45929400291173	0.144484205302716	0.46143433167323
mikado.Chr21G8	stable	2335.49126227315	-0.0553498311627911	0.0929746042321211	-0.59532204110925	0.551628225421561	0.813280187864542
mikado.Chr21G9	stable	7928.48563011719	-0.0824657436391244	0.105600564964365	-0.780921424681325	0.434848710264975	0.747042305202139
mikado.Chr21G11	stable	659.483058924798	0.207447697452187	0.186597053677971	1.11174154877172	0.266249289969172	0.603029390912296
mikado.Chr21G12	stable	3725.97241167718	-0.0372159187724483	0.0741767383719202	-0.501719536195414	0.615864820248294	0.848407026171475
mikado.Chr21G13	stable	1705.72593876726	-0.0692749486461576	0.109392432494657	-0.633270026695321	0.526557323166396	0.800969489038314
mikado.Chr21G17	stable	6374.86758514633	-0.00561957460197035	0.100327898234784	-0.0560120833870119	0.955332181123594	0.98207181633151
mikado.Chr21G18	stable	4613.06530203375	0.0509156434125585	0.0561066340633673	0.907479913249723	0.364153066944547	0.692016192446894
mikado.Chr21G19	stable	516.189366047013	0.121202030136909	0.171938630388395	0.704914479446088	0.480863458758754	0.775549711864328
mikado.Chr21G25	stable	838.65924176013	-0.076775391970613	0.120391310002474	-0.637715396310876	0.523658961363223	0.799475798407719
mikado.Chr21G24	stable	2920.84366893348	-0.116141775378066	0.112275684421124	-1.03443391128609	0.300933357935436	0.637594200587981
mikado.Chr21G30	stable	1059.1732748733	0.330055932150165	0.122569679522996	2.69280244049461	0.00708542398563192	0.0764525995486703
mikado.Chr21G26	stable	1447.278606743	-0.119313830226171	0.180866150667687	-0.659680265133697	0.509459033680839	0.789137580259492
mikado.Chr21G27	stable	5010.02916747725	-0.0167328512826076	0.128605506122424	-0.130109913541953	0.89647946692283	0.965517619956573
mikado.Chr21G29	stable	1258.94363995196	0.00648094108534956	0.117364530402849	0.0552206110577359	0.955962708737417	0.982376728320403
mikado.Chr21G28	stable	1533.23901958581	0.0539662261988039	0.125077396763026	0.431462659084994	0.666131998087105	0.869928078189212
mikado.Chr21G31	stable	3181.20891307161	0.334345203879304	0.24586994174395	1.3598457847584	0.173878730360503	0.501905699495251
mikado.Chr21G32	stable	2299.05295974121	-0.0372142722961924	0.112113166926815	-0.331934895037664	0.739938420380388	0.903536401554256
mikado.Chr21G33	stable	534.089319802718	0.213569294250954	0.345941544147001	0.617356596408677	0.536999543940381	0.805855543532467
mikado.Chr21G36	stable	2925.70379258944	-0.237656938542801	0.0946258281321964	-2.51154408086959	0.0120204272422019	0.111811953150847
mikado.Chr21G41	stable	1237.03216292264	0.339882338394226	0.183694558901431	1.85025806113617	0.0642763641820487	0.301624388161668
mikado.Chr21G38	stable	94.8692341120026	0.41203087238557	0.331641544045027	1.24239824528627	0.214089662731711	0.550925638085169
mikado.Chr21G40	stable	2718.53056765609	-0.08658877017887	0.14060217224403	-0.615842335839491	0.537998582786582	0.805855543532467
mikado.Chr21G39	stable	2682.05313478525	0.0453550133740563	0.215269733036583	0.21068922571827	0.833129782528344	0.941073253544133
mikado.Chr21G42	stable	569.314496563255	0.170208283406748	0.284252964623697	0.59879158562893	0.549311874130262	0.811662853744461
mikado.Chr21G45	stable	470.198852557513	-0.317968176057938	0.215531391064098	-1.47527547837974	0.140138496267049	0.456876763708053
mikado.Chr21G46	stable	257.916019313914	-0.388345556540259	0.146644666491982	-2.64820784710565	0.0080919757356946	0.0843624667156709
mikado.Chr21G43	stable	2361.90213453	-0.112887953153609	0.111188744398551	-1.01528220112791	0.30997132632699	0.647070034840283
mikado.Chr21G44	stable	3125.49153644044	-0.0385217744739978	0.107839796364091	-0.35721297492013	0.720932373250609	0.894915224364113
mikado.Chr21G50	stable	64.4976223916264	0.589048520791867	0.342047153925716	1.72212665426766	0.0850465776556964	0.352417426492668
mikado.Chr21G48	stable	4831.58840233087	0.127435217466738	0.0704337650741994	1.80929157105956	0.0704057177967818	0.317461379300364
mikado.Chr21G52	stable	5600.66921396848	-0.227322782491025	0.125572761926548	-1.81028735056409	0.0702512376408975	0.317310499732013
mikado.Chr21G53	stable	748.89121798243	0.0869627503250378	0.157750709135869	0.551266937571339	0.581450699587525	0.830597797586683
mikado.Chr21G54	stable	61.7100909969955	-0.229757745206424	0.253618205193838	-0.905919766409599	0.364978321221751	0.692831245787099
mikado.Chr21G55	stable	1160.57825780659	0.82652603493965	0.208027833520509	3.97315119305015	7.09279954113513e-05	0.0022858730934302
mikado.Chr21G56	stable	59.5448780183738	0.654998347019549	0.372297196615862	1.75934267830488	0.0785193217427208	0.339066806870997
mikado.Chr21G57	stable	1212.60313264702	-0.179463499971011	0.095309385637265	-1.88295726355876	0.0597061598377563	0.288970098928652
mikado.Chr21G69	stable	444.154632265964	0.275430916071582	0.183406570857391	1.50175053589408	0.13316154718376	0.447771816498054
mikado.Chr21G59	stable	957.59262326264	0.035242222391138	0.137448073834401	0.256403901546108	0.797638975536461	0.928467587723827
mikado.Chr21G58	stable	3549.98617270626	-0.180779839129282	0.0921720358417848	-1.9613306517347	0.0498404638940835	0.261756026700625
mikado.Chr21G60	stable	4028.63392641759	0.0315951933195455	0.265142260480657	0.11916317399674	0.905146081607722	0.966828266795547
mikado.Chr21G62	stable	66.3729201386697	0.0752982697892734	0.527195843998681	0.142827889571644	0.886426110200357	0.96259757569302
mikado.Chr21G65	stable	2731.95975379729	-0.0636103627287909	0.0819554987235564	-0.776157350263399	0.437656084914532	0.749410125483038
mikado.Chr21G66	stable	9881.48277877521	-0.282747527341288	0.127111391694843	-2.22440745531354	0.0261210427142031	0.179880168080474
mikado.Chr21G73	stable	1142.8408396824	0.0623447142169464	0.0849643446512942	0.733775026133821	0.463085863704929	0.763855294791643
mikado.Chr21G72	stable	946.224695211676	-0.108656432048972	0.183587509871476	-0.591850895112849	0.553950438565717	0.814417894932214
mikado.Chr21G74	stable	6496.5299018232	-0.417805985009052	0.09114729722913	-4.5838548998195	4.56481064390078e-06	0.000256019968092147
mikado.Chr21G75	stable	2079.07741309417	-0.182310284192705	0.125841332659528	-1.44873135352085	0.147412620910566	0.466243536824493
mikado.Chr21G77	stable	948.761250826132	0.0310831383192207	0.193568353710385	0.1605796491183	0.872424484518957	0.956454912613033
mikado.Chr21G78	stable	1201.69901002342	0.298453573521363	0.261859747931402	1.13974589786723	0.254392179366378	0.592113887526535
