ID,log2FoldChange,lfcSE,CI_lower,CI_upper
mikado.Chr02G192,0.717118484283783,0.514079274058944,-0.290476892871748,1.72471386143931
mikado.Chr02G194,0.323414895293824,0.341936188983611,-0.346780035114055,0.993609825701702
mikado.Chr02G195,0.0499023425200723,0.222584139750045,-0.386362571390016,0.486167256430161
mikado.Chr02G193,-0.421198387872996,0.15494081107471,-0.724882377579427,-0.117514398166566
mikado.Chr02G198,1.21262626098453,0.634790503082071,-0.0315631250563257,2.45681564702539
mikado.Chr02G199,-0.275230812333297,0.564979917867714,-1.38259145135402,0.832129826687422
mikado.Chr02G201,0.234485393885413,0.325435959021678,-0.403369085797076,0.872339873567903
mikado.Chr02G202,-0.382020375321338,0.131595555679303,-0.639947664452772,-0.124093086189904
mikado.Chr02G204,-0.0973912780636273,0.134926428250069,-0.361847077433763,0.167064521306508
mikado.Chr02G205,-0.0365025194784921,0.110918582065679,-0.253902940327223,0.180897901370239
mikado.Chr02G206,0.424034370157861,0.327646411474663,-0.218152596332478,1.0662213366482
mikado.Chr02G207,0.0696941243716983,0.449701610362891,-0.811721031939567,0.951109280682964
mikado.Chr02G208,0.0484388767998958,0.187072660886574,-0.318223538537789,0.41510129213758
mikado.Chr02G209,-0.159459537105717,0.134522417353818,-0.4231234751192,0.104204400907766
mikado.Chr02G210,-0.132726945899355,0.299354621694719,-0.719462004421005,0.454008112622294
mikado.Chr02G215,0.49302408506793,0.462761350974097,-0.4139881628413,1.40003633297716
mikado.Chr02G214,0.693408196919643,0.468363781700281,-0.224584815212909,1.61140120905219
mikado.Chr02G221,0.161855086326552,0.244285083743378,-0.316943677810469,0.640653850463572
mikado.Chr02G218,0.0114244504419181,0.305316591669772,-0.586996069230836,0.609844970114672
mikado.Chr02G219,0.11196684942663,0.112378702600992,-0.108295407671314,0.332229106524575
mikado.Chr02G220,0.0629669335848641,0.237141262150436,-0.401829940229991,0.527763807399719
mikado.Chr02G223,-0.00462965644909409,0.162392610348625,-0.322919172732399,0.313659859834211
mikado.Chr02G222,-0.124499405934359,0.171861460516134,-0.461347868545981,0.212349056677263
mikado.Chr02G224,-0.139043707114448,0.173953793778335,-0.479993142919985,0.201905728691088
mikado.Chr02G225,0.134379623834909,0.667141202552339,-1.17321713316767,1.44197638083749
mikado.Chr02G231,-0.228761603779568,0.196211216785314,-0.613335588678784,0.155812381119648
mikado.Chr02G226,-0.16266845831391,0.118055495199838,-0.394057228905593,0.0687203122777726
mikado.Chr02G227,1.49697978229794,1.10792950324771,-0.67456204406758,3.66852160866345
mikado.Chr02G229,-0.295785506117835,0.504622216298344,-1.28484505006259,0.69327403782692
mikado.Chr02G228,-0.0646431959083896,0.139893684916609,-0.338834818344943,0.209548426528164
mikado.Chr02G230,-0.0937861898069033,0.284897360288853,-0.652185015973054,0.464612636359248
mikado.Chr02G232,0.118822938304966,0.286655715234387,-0.443022263554433,0.680668140164365
mikado.Chr02G233,0.0796991660471618,0.31201486917953,-0.531849977544718,0.691248309639041
mikado.Chr02G234,0.238835866335991,0.206472783723512,-0.165850789762092,0.643522522434074
mikado.Chr02G238,0.993155085869196,0.243273330278989,0.516339358522377,1.46997081321601
mikado.Chr02G235,0.165452513177325,0.374055946421882,-0.567697141809564,0.898602168164214
mikado.Chr02G237,-0.0264032789153368,0.134047901051653,-0.289137164976577,0.236330607145904
mikado.Chr02G236,-0.14698223244004,0.185281128848827,-0.510133244983741,0.216168780103661
mikado.Chr02G239,0.0746828236716605,0.165214209522795,-0.249137026993017,0.398502674336338
mikado.Chr02G240,0.253465763222343,0.1676967136839,-0.0752197955981012,0.582151322042787
mikado.Chr02G241,0.58787869835082,0.196501913602054,0.202734947690794,0.973022449010846
mikado.Chr02G250,-0.0865680236854441,0.129309258553889,-0.340014170451067,0.166878123080179
mikado.Chr02G248,-0.123503757387329,0.160314436466476,-0.437720052861622,0.190712538086965
mikado.Chr02G242,0.423579712718296,0.374644930225905,-0.310724350524478,1.15788377596107
mikado.Chr02G243,0.267977307077847,0.409243296651434,-0.534139554358963,1.07009416851466
mikado.Chr02G246,-0.581208357829762,0.591950523418849,-1.74143138373071,0.579014668071183
mikado.Chr02G247,0.554778102682865,0.240315850394689,0.0837590359092752,1.02579716945646
mikado.Chr02G249,0.280750690839036,0.308523208700432,-0.32395479821381,0.885456179891883
mikado.Chr02G259,0.846078984745433,0.769052200596009,-0.661263328422745,2.35342129791361
mikado.Chr02G260,-0.0929231851212281,0.465918674890878,-1.00612378790735,0.820277417664892
mikado.Chr02G251,-0.0656509297088733,0.322595621027795,-0.697938346923351,0.566636487505604
mikado.Chr02G252,-0.147392350709231,0.176584600211385,-0.493498167123545,0.198713465705083
mikado.Chr02G254,-0.27907287715137,0.130884001105506,-0.535605519318161,-0.0225402349845786
mikado.Chr02G255,0.141449612913841,0.354731491271693,-0.553824109978677,0.83672333580636
mikado.Chr02G256,0.107143423054365,0.223496017407223,-0.330908771063792,0.545195617172523
mikado.Chr02G258,-0.171084215512343,0.166261837275344,-0.496957416572016,0.154788985547331
mikado.Chr02G262,0.29832424235538,0.282796344323101,-0.255956592517899,0.852605077228658
mikado.Chr02G263,-0.152312294667884,0.172218459837483,-0.48986047594935,0.185235886613582
mikado.Chr02G265,-0.0509686442513313,0.183347389267918,-0.41032952721645,0.308392238713788
mikado.Chr02G271,0.144582767530869,0.16309771117252,-0.17508874636727,0.464254281429008
mikado.Chr02G272,-0.299944437719998,0.175314092727652,-0.643560059466196,0.0436711840262003
mikado.Chr02G266,0.749340361288601,0.865411319224276,-0.946865824390979,2.44554654696818
mikado.Chr02G269,-0.176447762448511,0.211081628209967,-0.590167753740047,0.237272228843025
mikado.Chr02G267,-0.225295706418992,0.140146400373296,-0.499982651150652,0.0493912383126678
mikado.Chr02G268,-0.173763029357812,0.22738026023831,-0.6194283394249,0.271902280709275
mikado.Chr02G270,0.335808572910359,0.332516957228587,-0.315924663257673,0.98754180907839
mikado.Chr02G276,-0.0338367847027836,0.124457595808416,-0.277773672487278,0.210100103081711
mikado.Chr02G273,0.263460746936905,0.24840520714634,-0.223413459069922,0.750334952943732
mikado.Chr02G274,-0.146967572147791,0.252566394711641,-0.641997705782608,0.348062561487025
