ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_lower	CI_upper
mikado.Chr05G383	stable	246.749252259045	0.0674854765452672	0.174733071875193	0.386220397896229	0.699333448209226	0.918170803571402	-0.274991344330111	0.409962297420645
mikado.Chr05G381	stable	288.892804737719	-0.151429546682632	0.141259024542908	-1.07199909650115	0.2837204379525	0.689768185731529	-0.428297234786732	0.125438141421468
mikado.Chr05G393	stable	320.297367516493	-0.180115522789158	0.225689657294804	-0.798067243967162	0.424831468832566	0.790706733827143	-0.622467251086974	0.262236205508658
mikado.Chr05G391	stable	107.781545433285	-0.345162050261424	0.238546115620719	-1.44694056058419	0.14791357181277	0.55212402008984	-0.812712436878033	0.122388336355185
mikado.Chr05G392	stable	1773.6603573368	0.111729961384936	0.096107030326948	1.1625576298096	0.245009029927955	0.656909038036606	-0.0766398180558821	0.300099740825754
mikado.Chr05G394	stable	2657.37199685184	0.0360329863882293	0.0760156680467174	0.47402051858683	0.635485275429663	0.898181327355404	-0.112957722983337	0.185023695759795
mikado.Chr05G395	stable	4417.58909422402	0.00531514220414817	0.240646865367309	0.022086895651167	0.982378639683036	0.996314997172007	-0.466352713915777	0.476982998324074
mikado.Chr05G396	stable	82.0943404321434	0.384095995127168	0.261119045493849	1.47096124068903	0.141301599167579	0.540527961894541	-0.127697334040776	0.895889324295112
mikado.Chr05G397	stable	514.196297824601	-0.374399535801227	0.234722021746108	-1.5950763077791	0.110695172822552	0.490689337516028	-0.834454698423599	0.0856556268211447
mikado.Chr05G398	stable	4090.84655085539	0.130576043045214	0.13452247480047	0.970663402073824	0.331715922240558	0.727223367988915	-0.133088007563707	0.394240093654135
mikado.Chr05G411	stable	531.383722859346	-0.0112090741532705	0.138627013493834	-0.0808577914994108	0.935555047508905	0.984864126333572	-0.282918020601185	0.260499872294644
mikado.Chr05G412	stable	337.243493318142	-0.29850613047092	0.281712528876112	-1.05961254780469	0.2893209027417	0.695502443856576	-0.850662687068099	0.253650426126259
mikado.Chr05G403	stable	1551.53040881641	0.097360018116517	0.0811286289450848	1.20006980744638	0.230112230313704	0.645126188593994	-0.0616520946158492	0.256372130848883
mikado.Chr05G406	stable	2846.36778228224	-0.0547769091752393	0.0992695709158834	-0.551799596491202	0.581085663776588	0.875830090126641	-0.249345268170371	0.139791449819892
mikado.Chr05G402	stable	351.017651217138	-0.114719761301242	0.15801252203101	-0.726016899336169	0.467828410691572	0.817824002305031	-0.424424304482022	0.194984781879538
mikado.Chr05G405	stable	138.812910598108	0.0977178682099908	0.278368441474188	0.351037882356545	0.725559928573465	0.928599505235318	-0.447884277079418	0.643320013499399
mikado.Chr05G404	stable	611.497917235113	0.0543391187969319	0.202392367978415	0.268484030992351	0.78832676522012	0.948871899325542	-0.342349922440761	0.451028160034625
mikado.Chr05G408	stable	769.663944253445	0.183307546872602	0.165945214215956	1.10462689592272	0.269321291863637	0.679163671331048	-0.141945072990672	0.508560166735876
mikado.Chr05G409	stable	134.119968556769	0.294725049580967	0.378179466887408	0.779325889918589	0.435787767451591	0.797794984300638	-0.446506705518353	1.03595680468029
mikado.Chr05G389	stable	644.108177673622	-0.0519388155145469	0.179473352276873	-0.289395694991092	0.772278589028172	0.943514997883733	-0.403706585977218	0.299828954948124
mikado.Chr05G387	stable	145722.859557233	-0.483439826464393	0.298125694036102	-1.62159731997421	0.104889596876698	0.482069277845229	-1.06776618677515	0.100886533846367
mikado.Chr05G388	stable	1108.52456920535	0.0259889905568061	0.173823838689648	0.149513385233702	0.881148548191089	0.973857002767463	-0.314705733274904	0.366683714388516
mikado.Chr05G390	stable	47.5556711403517	0.331425754657123	0.379183493340708	0.874051113715878	0.382090418534806	0.760157075870483	-0.411773892290665	1.07462540160491
mikado.Chr05G420	stable	3776.94996692548	0.159104298614342	0.124634919191584	1.2765627774811	0.201756650182548	0.614111668002503	-0.0851801430011626	0.403388740229847
