ID,baseMean,log2FoldChange,lfcSE,CI_lower,CI_upper,stat,pvalue,padj,Change
mikado.Chr02G62,1556.07583122343,-0.0208992047249235,0.167838353883051,-0.349862378335704,0.308063968885857,-0.124519838531579,0.900903693743231,0.991887956956557,not significant
mikado.Chr02G63,107.811146816979,0.0518890291059106,0.401530831625069,-0.735111400879224,0.838889459091046,0.12922800696501,0.897177235659074,0.991887956956557,not significant
mikado.Chr02G64,593.989709312822,0.071483646926219,0.162763653867936,-0.247533114654936,0.390500408507374,0.439186791568464,0.660526194920664,0.953420211508429,not significant
mikado.Chr02G34,2518.55256922374,0.384676671449205,0.178357448964056,0.0350960714796551,0.734257271418756,2.15677379152652,0.0310232941466966,0.369990110192314,not significant
mikado.Chr02G35,2405.8589172822,-0.0872556153959767,0.120284135063424,-0.323012520120288,0.148501289328335,-0.725412502238702,0.468199005444239,0.911273321772963,not significant
mikado.Chr02G36,4093.73915005768,0.141651715112874,0.130270611300983,-0.113678683037053,0.396982113262802,1.08736509100733,0.276875492534548,0.811251837381425,not significant
mikado.Chr02G37,1272.23311812134,-0.00795142020371492,0.141134416995502,-0.284574877514899,0.268672037107469,-0.0563393421178643,0.955071478112359,0.995393421663572,not significant
mikado.Chr02G39,2465.31391034076,0.131808459266986,0.115421126495999,-0.094416948665171,0.358033867199143,1.14197862443801,0.253462904883638,0.799547606936095,not significant
mikado.Chr02G40,1479.78561033057,0.254890971524547,0.185843278345161,-0.109361854031969,0.619143797081063,1.37153721024629,0.170207552145235,0.710323508222874,not significant
mikado.Chr02G42,3658.32840923386,-0.0900128614059611,0.154688442390313,-0.393202208490975,0.213176485679053,-0.581897781211338,0.560635535121344,0.934743864916623,not significant
mikado.Chr02G45,43619.9115248185,-0.764110998478766,0.283385614858907,-1.31954680360222,-0.208675193355307,-2.69636480616422,0.00701008470730099,0.16387726325181,not significant
mikado.Chr02G43,654.945495459553,-0.10316223834893,0.159461637516791,-0.41570704788184,0.209382571183981,-0.64694079375716,0.51767026264561,0.92508682128991,not significant
mikado.Chr02G47,289.437310942934,-0.736493965372722,0.196797144684314,-1.12221636895398,-0.350771561791467,-3.74240168247434,0.000182269854296838,0.0131979944497665,down
mikado.Chr02G48,2785.04414194559,0.494923361161353,0.195279330763088,0.112175872865701,0.877670849457005,2.53443802386742,0.0112627848101804,0.213590669078778,not significant
mikado.Chr02G49,114.995912163817,-0.112348534099599,0.398895212581256,-0.894183150758859,0.669486082559662,-0.281649241595531,0.778212478664518,0.974825418511769,not significant
mikado.Chr02G50,2789.95720800583,-0.0748724815780836,0.142950078649519,-0.35505463573114,0.205309672574973,-0.523766634376285,0.600440862867684,0.944311093293489,not significant
mikado.Chr02G51,48672.4888907938,0.392139773953925,0.271871684322076,-0.140728727317343,0.925008275225194,1.4423707821274,0.149197801810026,0.680148580828843,not significant
mikado.Chr02G57,2129.66259020573,0.123951865532978,0.117263796663672,-0.105885175927819,0.353788906993776,1.05703438793209,0.290495893539697,0.821659320431074,not significant
mikado.Chr02G58,561.670072107596,-0.15636327744012,0.166776503557752,-0.483245224413313,0.170518669533073,-0.937561791406515,0.348469654764668,0.857784154230533,not significant
mikado.Chr02G59,842.420811034094,-0.00141913189188941,0.168467645079384,-0.331615716247481,0.328777452463703,-0.00842376523528126,0.993278887263194,0.999203583254236,not significant
mikado.Chr02G61,17406.966831652,0.132015782139042,0.133200055697695,-0.129056327028441,0.393087891306525,0.991109061085221,0.321632328966343,0.841659766190049,not significant
mikado.Chr02G60,1242.0487393003,-0.128729879710286,0.149365205174677,-0.421485681852654,0.164025922432081,-0.861846502736305,0.388771991135333,0.877392526442036,not significant
mikado.Chr02G68,346.99630359182,0.00478002593607532,0.179505809986425,-0.347051361637318,0.356611413509469,0.0266288090420962,0.978755795110241,0.996710766085358,not significant
mikado.Chr02G67,3625.56694879008,-0.0106568740000797,0.132366792475492,-0.270095787252043,0.248782039251884,-0.0805101778231337,0.935831501781298,0.993474588381879,not significant
mikado.Chr02G70,8213.08528121729,0.213562391675023,0.106514039823581,0.00479487362080364,0.422329909729241,2.00501635304365,0.0449612988239033,0.426692292072635,not significant
mikado.Chr02G78,1102.88239521847,0.275526103675355,0.114766587876018,0.0505835914383598,0.50046861591235,2.40075189804375,0.0163614254128834,0.266344897487682,not significant
mikado.Chr02G71,371.974719603297,0.186033099742332,0.278852577644529,-0.360517952440944,0.732584151925608,0.667137816382247,0.504684106700625,0.920017079244447,not significant
mikado.Chr02G72,1352.29870735567,-0.093024496534219,0.15471456942034,-0.396265052598086,0.210216059529648,-0.601265264691931,0.547663321069492,0.932792682640278,not significant
mikado.Chr02G73,2092.11398074163,0.159487747408784,0.140036109355053,-0.11498302692712,0.433958521744688,1.13890444502719,0.25474301144564,0.799729538465746,not significant
mikado.Chr02G74,38.4689913636739,0.259189685942652,0.594791090772902,-0.906600851972237,1.42498022385754,0.435765918426665,0.663006573733427,0.953706049455387,not significant
mikado.Chr02G75,4493.22830320753,-0.000652752917526034,0.129350143463313,-0.25417903410562,0.252873528270568,-0.00504640273330017,0.995973570261145,0.999403043705277,not significant
mikado.Chr02G76,356.260313597528,-0.130263875893084,0.218763380099226,-0.559040100887568,0.298512349101399,-0.595455582346549,0.55153898134476,0.933703954471531,not significant
mikado.Chr02G77,34.0953179430317,0.563745885743136,0.518211311031916,-0.45194828387942,1.57944005536569,1.08786873953127,0.276653058179686,0.811251837381425,not significant
mikado.Chr02G81,796.050399311038,-0.136341957806113,0.157423125514983,-0.44489128381548,0.172207368203254,-0.866085953763737,0.386443027395281,0.875659157959745,not significant
